# Scalar ASCII output created by CarpetIOScalar
# created on N85S by pan on Dec 12 2020 at 12:28:46+0100
# parameter filename: "/home/pan/simulations/FLRW_O2/output-0000/FLRW_O2.par"
#
# ADMBASE::gzz (gzz)
# 1:iteration 2:time 3:data
0 1 1
1 1.0005 1.00200150049944
2 1.001 1.0040060040028
3 1.0015 1.00601351350571
4 1.002 1.00802403201633
5 1.0025 1.01003756253998
6 1.003 1.01205410808187
7 1.0035 1.01407367164974
8 1.004 1.01609625625691
9 1.0045 1.01812186490903
10 1.005 1.02015050062582
11 1.0055 1.02218216641594
12 1.006 1.02421686529683
13 1.0065 1.02625460028529
14 1.007 1.02829537440216
15 1.0075 1.03033919066378
16 1.008 1.03238605209542
17 1.0085 1.03443596172101
18 1.009 1.03648892256051
19 1.0095 1.03854493764643
20 1.01 1.04060400999924
21 1.0105 1.04266614265431
22 1.011 1.04473133864
23 1.0115 1.04679960099005
24 1.012 1.04887093273465
25 1.0125 1.05094533691443
26 1.013 1.05302281656043
27 1.0135 1.05510337471606
28 1.014 1.05718701441758
29 1.0145 1.05927373870509
30 1.015 1.06136355062419
31 1.0155 1.06345645322109
32 1.016 1.06555244953717
33 1.0165 1.06765154261853
34 1.017 1.06975373552197
35 1.0175 1.07185903128962
36 1.018 1.07396743297522
37 1.0185 1.07607894363359
38 1.019 1.07819356632018
39 1.0195 1.08031130408956
40 1.02 1.08243216000049
41 1.0205 1.08455613710997
42 1.021 1.08668323847973
43 1.0215 1.088813467176
44 1.022 1.09094682625499
45 1.0225 1.09308331878864
46 1.023 1.09522294784194
47 1.0235 1.09736571648005
48 1.024 1.09951162777689
49 1.0245 1.10166068479917
50 1.025 1.10381289062363
51 1.0255 1.10596824832537
52 1.026 1.10812676097622
53 1.0265 1.1102884316552
54 1.027 1.11245326344159
55 1.0275 1.11462125941597
56 1.028 1.11679242265583
57 1.0285 1.11896675624952
58 1.029 1.12114426327916
59 1.0295 1.12332494683483
60 1.03 1.12550881000028
61 1.0305 1.12769585586527
62 1.031 1.12988608752008
63 1.0315 1.13207950806006
64 1.032 1.13427612057461
65 1.0325 1.13647592816328
66 1.033 1.13867893392119
67 1.0335 1.14088514094457
68 1.034 1.14309455233646
69 1.0345 1.14530717119558
70 1.035 1.14752300062463
71 1.0355 1.14974204373066
72 1.036 1.15196430361572
73 1.0365 1.15418978338966
74 1.037 1.15641848616206
75 1.0375 1.15865041503898
76 1.038 1.16088557313668
77 1.0385 1.16312396356582
78 1.039 1.16536558944142
79 1.0395 1.1676104538787
80 1.04 1.16985856000017
81 1.0405 1.17210991092105
82 1.041 1.17436450975984
83 1.0415 1.17662235964446
84 1.042 1.17888346369694
85 1.0425 1.18114782503929
86 1.043 1.18341544680056
87 1.0435 1.18568633211046
88 1.044 1.18796048409462
89 1.0445 1.19023790588873
90 1.045 1.19251860062586
91 1.0455 1.19480257143611
92 1.046 1.19708982145546
93 1.0465 1.19938035382538
94 1.047 1.20167417168033
95 1.0475 1.20397127816381
96 1.048 1.20627167641764
97 1.0485 1.20857536958053
98 1.049 1.21088236080018
99 1.0495 1.21319265322538
100 1.05 1.21550625000014
101 1.0505 1.2178231542767
102 1.051 1.22014336920089
103 1.0515 1.22246689793098
104 1.052 1.22479374361717
105 1.0525 1.22712390941306
106 1.053 1.22945739848215
107 1.0535 1.23179421397631
108 1.054 1.23413435905387
109 1.0545 1.23647783688475
110 1.055 1.23882465062491
111 1.0555 1.24117480344007
112 1.056 1.24352829849561
113 1.0565 1.24588513895872
114 1.057 1.24824532800087
115 1.0575 1.25060886878928
116 1.058 1.25297576449559
117 1.0585 1.25534601829603
118 1.059 1.25771963336008
119 1.0595 1.26009661286833
120 1.06 1.26247695999906
121 1.0605 1.26486067793045
122 1.061 1.26724776984071
123 1.0615 1.2696382389156
124 1.062 1.27203208833705
125 1.0625 1.27442932128906
126 1.063 1.27682994096104
127 1.0635 1.27923395053956
128 1.064 1.28164135321411
129 1.0645 1.28405215218105
130 1.065 1.28646635062453
131 1.0655 1.2888839517448
132 1.066 1.29130495873631
133 1.0665 1.29372937479603
134 1.067 1.29615720312023
135 1.0675 1.29858844691378
136 1.068 1.30102310937804
137 1.0685 1.30346119370932
138 1.069 1.30590270312122
139 1.0695 1.30834764081571
140 1.07 1.31079601000095
141 1.0705 1.31324781388549
142 1.071 1.31570305568033
143 1.0715 1.31816173859991
144 1.072 1.32062386585587
145 1.0725 1.32308944066356
146 1.073 1.3255584662406
147 1.0735 1.32803094580535
148 1.074 1.33050688257618
149 1.0745 1.33298627977425
150 1.075 1.33546914062609
151 1.0755 1.3379554683494
152 1.076 1.34044526617662
153 1.0765 1.34293853733078
154 1.077 1.34543528503965
155 1.0775 1.34793551254021
156 1.078 1.35043922305449
157 1.0785 1.35294641982312
158 1.079 1.35545710608128
159 1.0795 1.3579712850613
160 1.08 1.36048895999965
161 1.0805 1.36301013414043
162 1.081 1.36553481072241
163 1.0815 1.36806299298661
164 1.082 1.37059468417604
165 1.0825 1.37312988753681
166 1.083 1.37566860632233
167 1.0835 1.37821084377224
168 1.084 1.38075660313621
169 1.0845 1.38330588767154
170 1.085 1.38585870062487
171 1.0855 1.38841504525447
172 1.086 1.39097492481365
173 1.0865 1.39353834256527
174 1.087 1.39610530176017
175 1.0875 1.39867580566524
176 1.088 1.40124985753601
177 1.0885 1.40382746064123
178 1.089 1.40640861824244
179 1.0895 1.40899333360621
180 1.09 1.41158160999928
181 1.0905 1.41417345069536
182 1.091 1.41676885896181
183 1.0915 1.41936783806911
184 1.092 1.4219703912967
185 1.0925 1.42457652191339
186 1.093 1.42718623320004
187 1.0935 1.42979952843392
188 1.094 1.43241641089704
189 1.0945 1.43503688386417
